business.rating,business.review_count,business.is_claimed,business.name,business.categories,business.is_closed,business.location.city,business.location.neighborhoods,business.location.postal_code
4,154,TRUE,OggiGourmet,Pizza;Sandwiches;Coffee & Tea,FALSE,Cambridge,Harvard Square,2138
4,420,TRUE,James Hook & Co,Seafood,FALSE,Boston,Waterfront;South Boston,2111
4.5,142,TRUE,Giulia,Italian,FALSE,Cambridge,Porter Square,2138
4,585,TRUE,Tasty Burger,Burgers;Hot Dogs,FALSE,Boston,Fenway,2215
5,65,TRUE,ANI Take Out,Middle Eastern;Armenian,FALSE,Belmont,,2478
4,311,TRUE,Olecito,Mexican,FALSE,Cambridge,Inman Square,2139
4.5,181,FALSE,Sarma,Middle Eastern,FALSE,Somerville,,2145
4,207,TRUE,Cutty's,Coffee & Tea;Sandwiches;Breakfast & Brunch,FALSE,Brookline,Brookline Village,2445
4.5,171,TRUE,East Side Bar & Grille,Italian,FALSE,Cambridge,East Cambridge,2141
4,299,TRUE,City Girl Caf̩,Italian;Breakfast & Brunch;Sandwiches,FALSE,Cambridge,Inman Square,2139
4.5,929,TRUE,Oleana Restaurant,Mediterranean,FALSE,Cambridge,Inman Square,2139
4.5,84,TRUE,Billy's Sub Shop,Diners;Sandwiches;Salad,FALSE,Boston,South End,2116
5,25,TRUE,Knight Moves,Cafes,FALSE,Brookline,Coolidge Corner,2446
4.5,74,TRUE,Noor Mediterranean Grill,Mediterranean;Middle Eastern,FALSE,Somerville,,2144
4,306,FALSE,Basta Pasta Trattoria,Italian;Pizza,FALSE,Cambridge,,2139
4.5,147,FALSE,In House Caf̩,Coffee & Tea;Cafes;Breakfast & Brunch,FALSE,Allston,Allston/Brighton,2134
4.5,220,FALSE,Esperia Grill,Greek,FALSE,Brighton,,2135
4.5,65,FALSE,The North End,Italian,FALSE,Boston,North End,2455
4.5,1120,TRUE,Island Creek Oyster Bar,Seafood,FALSE,Boston,,2215
4.5,323,TRUE,Guru The Caterer,Indian;Caterers,FALSE,Somerville,Teele Square,2144
4.5,68,TRUE,Sarah's Market & Cafe,Grocery;Sandwiches,FALSE,Cambridge,Huron Village,2138
4,68,TRUE,A4 Pizza Bar,Pizza;Bars,FALSE,Somerville,,2143
4,185,TRUE,Newtowne Grille,Pizza;Pubs;American (New),FALSE,Cambridge,Porter Square,2140
4,335,TRUE,Darwin's Ltd,Delis;Sandwiches;Coffee & Tea,FALSE,Cambridge,Harvard Square,2138
4,483,TRUE,The Paris Creperie,Creperies;Cafes,FALSE,Brookline,Coolidge Corner,2446
4,537,TRUE,Genki Ya,Sushi Bars;Japanese,FALSE,Brookline,,2446
4,414,TRUE,Ernesto's,Pizza;Desserts,FALSE,Boston,North End,2113
4.5,90,TRUE,Alfredo's,Italian,FALSE,Boston,Allston/Brighton,2228
4,209,TRUE,Pauli's,Sandwiches;Caterers;Seafood,FALSE,Boston,North End,2113
4.5,23,TRUE,Pennypackers Fine Food,Soup;Sandwiches;Food Trucks,FALSE,Somerville,,2145
4,811,TRUE,Deep Ellum,Pubs;American (New);Breakfast & Brunch,FALSE,Allston,Allston/Brighton,2134
4,612,FALSE,The Helmand,Afghan,FALSE,Cambridge,Kendall Square/MIT;East Cambridge,2142
4,154,TRUE,The Proper Slice,Pizza,FALSE,Brighton,,2135
4,1087,TRUE,Russell House Tavern,American (New);Pizza;Cocktail Bars,FALSE,Cambridge,Harvard Square,2138
4,464,TRUE,Muqueca Restaurant,Latin American;Brazilian,FALSE,Cambridge,,2139
4,225,TRUE,Boston Burger Company,Burgers,FALSE,Boston,,2215
4,905,TRUE,Regina Pizzeria,Pizza;Italian,FALSE,Boston,North End,2113
4.5,74,FALSE,Andre's Cafe,American (Traditional),FALSE,Boston,South End,2118
4,871,FALSE,The Parish Cafe,Sandwiches;Desserts;Cafes,FALSE,Boston,Back Bay,2116
4,221,TRUE,Big Daddy's,Pizza,FALSE,Brighton,,2134
4,287,FALSE,Falafel King,Falafel,FALSE,Boston,Downtown,2108
4,240,TRUE,Figs,Pizza;Italian,FALSE,Charlestown,Charlestown,2129
4,266,FALSE,Flour Bakery + Caf̩,American (New);Coffee & Tea;Bakeries,FALSE,Boston,Back Bay,2116
4,322,TRUE,The Breakfast Club,Diners;Breakfast & Brunch;Sandwiches,FALSE,Allston,Allston/Brighton,2134
4,126,TRUE,Bravo Pizza,Pizza;Ice Cream & Frozen Yogurt,FALSE,Allston,Allston/Brighton,2134
4,444,FALSE,Anna's Taqueria,Mexican,FALSE,Somerville,Davis Square,2144
4.5,28,FALSE,Roy's Cold Cuts,Delis;Pizza;Sandwiches,FALSE,Boston,East Boston,2128
4.5,46,TRUE,Clover,Vegetarian;Sandwiches,FALSE,Cambridge,Kendall Square/MIT,2142
4,539,TRUE,Green Street,Lounges;American (New),FALSE,Cambridge,Central Square,2139
4,548,TRUE,Dorado Tacos & Cemitas,Mexican;Gluten-Free,FALSE,Brookline,,2446
4,459,FALSE,Pho Basil,Vietnamese;Thai,FALSE,Boston,,2115
4,332,TRUE,River Gods,Pubs;American (New),FALSE,Cambridge,,2139
4,606,TRUE,Santarpio's Pizza,Pizza,FALSE,Boston,East Boston,2128
4,349,TRUE,Uburger,Burgers,FALSE,Boston,,2215
4,125,FALSE,New England Soup Factory,American (New);Soup,FALSE,Brookline,Brookline Village,2445
4,81,FALSE,Mixtura,Diners;Breakfast & Brunch;Peruvian,FALSE,Somerville,,2143
4,554,TRUE,Caf̩ Luna,Coffee & Tea;Sandwiches;Breakfast & Brunch,FALSE,Cambridge,Central Square,2139
4.5,52,TRUE,Matilda's Sandwich Shoppe,Sandwiches,FALSE,Watertown,,2472
4.5,120,TRUE,Machu Chicken,Peruvian,FALSE,Somerville,,2143
4.5,36,FALSE,Parlor Sports,Sports Bars;American (Traditional),FALSE,Somerville,,2143
4.5,94,TRUE,Lotus Xpress,Asian Fusion;Japanese;Szechuan,FALSE,Somerville,,2145
4.5,70,FALSE,Shawarma Falafel,Middle Eastern,FALSE,Boston,Downtown,2108
4,298,FALSE,Chacarero,Sandwiches;Salad,FALSE,Boston,Downtown,2108
4,177,TRUE,Clover,Vegetarian;Fast Food;Food Trucks,FALSE,Cambridge,Kendall Square/MIT,2142
4,49,FALSE,Dimitrios Cuisine,Greek;Pizza,FALSE,Cambridge,,2139
4,238,TRUE,OTTO,Pizza,FALSE,Cambridge,Harvard Square,2138
4.5,86,FALSE,KO Pies at the Shipyard,American (New),FALSE,Boston,East Boston,2128
