,,,,,,,
Id2,Total; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; Total population,Percent; Age group: 20-40,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median family income (dollars),Percent; EDUCATIONAL ATTAINMENT - Bachelor's degree and above,Percent; Population - Asian alone
2663,96,32,64,50,-,60,0.00%
2664,9562,5222,4340,17.3,63504,29,0.90%
2666,528,251,277,0,103068,61.1,0.00%
2667,3002,1712,1290,10.2,82500,60.4,0.00%
2668,3178,1572,1606,16.5,89286,47.6,1.13%
2669,183,94,89,4.4,101648,47.6,0.00%
2670,1087,619,468,16,67143,41.8,2.48%
2671,1011,538,473,25.6,53750,42.6,0.00%
2672,91,49,42,0,29259,46.2,0.00%
2673,8384,4476,3908,20.6,58638,28.2,1.40%
2675,6155,3415,2740,11.7,77955,40.8,1.54%
2702,4268,2089,2179,22.3,95632,34.2,0.00%
2703,43603,22306,21297,26.4,74719,29.9,5.21%
2713,139,81,58,19.4,68750,21.6,0.00%
2715,3057,1616,1441,22.5,93789,34.2,0.16%
2717,4599,2170,2429,19.9,90481,22.1,0.11%
2718,6854,3220,3634,23.8,82877,28.1,0.00%
2719,15893,8508,7385,23.9,80023,22.7,1.86%
2720,30782,16356,14426,28.2,54905,20.5,1.73%
2721,25566,13143,12423,30.8,38149,10.9,2.21%
2723,14799,7897,6902,29.8,34416,10.8,3.11%
2724,17147,9115,8032,25.1,40280,10.9,3.17%
2725,2577,1349,1228,23.6,79773,16.9,1.05%
2726,15654,7962,7692,19.5,82155,29.2,0.81%
2738,4913,2386,2527,18.6,99635,46.8,3.50%
2739,6070,3155,2915,13.5,94605,48.3,1.55%
2740,43863,23136,20727,27.3,44419,16.2,1.03%
2743,10310,5096,5214,23.1,83763,22.4,0.24%
2744,11551,6160,5391,28.4,37695,13.9,2.52%
2745,25005,13239,11766,26.3,59534,16.8,0.39%
2746,14345,7601,6744,33,29784,6.7,0.66%
2747,21538,10213,11325,29.7,83417,24,1.65%
2748,12893,6830,6063,16.1,87981,35.8,2.09%
2760,26997,13323,13674,22.7,95906,42.1,3.52%
2762,8278,4392,3886,25.7,104114,40.4,2.54%
2763,1676,810,866,16.9,138068,51.6,0.00%
2764,4006,1970,2036,20,88828,32.3,0.00%
2766,19123,9905,9218,23.1,96385,36.4,1.72%
2767,13461,6959,6502,20.9,94339,31.2,2.46%
2769,11570,5480,6090,21.8,93324,35.4,0.86%
2770,5199,2621,2578,22.6,110685,38.2,2.54%
2771,13785,7318,6467,18.9,88425,30.8,2.02%
2777,15903,8211,7692,21.4,81774,22.2,1.03%
2779,6411,3370,3041,20.5,90855,24.4,0.00%
2780,48972,25814,23158,26.2,62889,18.1,0.92%
2790,16074,8406,7668,18.9,86543,28,0.49%
2791,46,27,19,0,150455,63,0.00%
2861,27434,13579,13855,27.4,64586,18.5,1.18%
